Mon May  3 17:11:59 2021    C:\Users\piyus\AppData\Local\Programs\Python\Python38\output.prof

         193221 function calls (189531 primitive calls) in 0.593 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\encodings\cp1252.py:11(encode)
      394    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\abc.py:96(__instancecheck__)
       44    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\abc.py:100(__subclasscheck__)
      210    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:34(_get_bothseps)
      420    0.001    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:44(normcase)
      210    0.001    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:61(isabs)
      420    0.002    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:124(splitdrive)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:203(splitext)
      210    0.004    0.000    0.008    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:450(normpath)
      210    0.003    0.000    0.112    0.001 c:\users\piyus\appdata\local\programs\python\python38\lib\ntpath.py:625(realpath)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\genericpath.py:121(_splitext)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:96(_showwarnmsg)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:130(filterwarnings)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:403(__init__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:437(__init__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:458(__enter__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\warnings.py:477(__exit__)
      590    0.002    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:82(__init__)
      590    0.001    0.000    0.007    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:108(__enter__)
      590    0.001    0.000    0.004    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:117(__exit__)
      590    0.001    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:238(helper)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:697(__init__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:700(__enter__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\contextlib.py:703(__exit__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\weakref.py:51(_cb)
       12    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\weakref.py:44(__new__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\weakref.py:73(__eq__)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\json\__init__.py:183(dumps)
      305    0.001    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\re.py:188(match)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\re.py:250(compile)
      309    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\re.py:289(_compile)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\enum.py:664(value)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\copyreg.py:90(__newobj__)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\json\encoder.py:104(__init__)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\json\encoder.py:182(encode)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\json\encoder.py:204(iterencode)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:222(__init__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:246(__enter__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:249(__exit__)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:505(__init__)
        7    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:513(is_set)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:540(wait)
        7    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:1017(_wait_for_tstate_lock)
        7    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\threading.py:1071(is_alive)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\copy.py:258(_reconstruct)
        7    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\traceback.py:292(walk_stack)
      129    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\traitlets\traitlets.py:533(get)
      129    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\traitlets\traitlets.py:564(__get__)
       10    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:72(isclass)
     5046    0.001    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:2527(name)
     2580    0.001    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:2531(default)
     9861    0.002    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:2539(kind)
      579    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:2619(__init__)
      581    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:2845(parameters)
      579    0.078    0.000    0.086    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:2889(_bind)
      579    0.001    0.000    0.086    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\inspect.py:3020(bind)
        3    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\traitlets\config\configurable.py:480(instance)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\traitlets\config\configurable.py:524(initialized)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipython_genutils\py3compat.py:19(encode)
        4    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\ipython_genutils\py3compat.py:188(iteritems)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\utils\decorators.py:41(wrapper)
      2/1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\display.py:41(_merge)
        1    0.000    0.000    0.003    0.003 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\display.py:81(publish_display_data)
        1    0.000    0.000    0.404    0.404 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\display.py:131(display)
        3    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:102(_safe_getattr)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:168(group)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:185(__init__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:216(text)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:264(begin_group)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:288(end_group)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:297(flush)
       12    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:305(_get_mro)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:339(__init__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:356(pretty)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:401(_in_deferred_types)
        3    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:466(__init__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:474(__init__)
        3    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:479(enq)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:496(remove)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\lib\pretty.py:697(_repr_pprint)
       10    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\utils\dir2.py:54(get_real_method)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\displaypub.py:43(_validate_data)
        1    0.000    0.000    0.401    0.401 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:89(format)
       12    0.000    0.000    0.401    0.033 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:220(catch_format_error)
       11    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:274(_get_type)
        9    0.000    0.000    0.400    0.044 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:331(__call__)
       11    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:359(_check_return)
       11    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:374(lookup)
       11    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:397(lookup_by_type)
       30    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:550(_in_deferred_types)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:689(__call__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:824(_check_return)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:903(__call__)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:940(_check_return)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\IPython\core\formatters.py:949(__call__)
        9    0.000    0.000    0.400    0.044 <decorator-gen-2>:1(__call__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(__call__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(__call__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(__call__)
      310    0.001    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:124(_is_nth_color)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:197(_to_rgba_no_colorcycle)
      310    0.001    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:161(to_rgba)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:341(<listcomp>)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:281(to_rgba_array)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\matplotlib\colors.py:962(__init__)
       12    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\cycler.py:138(keys)
